kan_name,kou_name,moku_name,setsu_layer1_name,setsu_layer2_name,setsumei_layer1_name,setsumei_layer2_name,setsumei_layer3_name,amount_2025,amount_2026,増減額,増減率,状態,増減額順位
農林水産業費,農業費,農業総務費,職員手当等当,通勤手当,,,,1311,1180,-131,-10,減額,5024
農林水産業費,農業費,農業総務費,職員手当等当,時間外勤務手,,,,5000,5000,0,0,横ばい,3561
農林水産業費,農業費,農業総務費,職員手当等当,休日勤務手当,,,,330,330,0,0,横ばい,3562
農林水産業費,農業費,農業総務費,職員手当等当,期末手当,,,,11722,11379,-343,-2.9,減額,5263
農林水産業費,農業費,農業総務費,職員手当等当,勤勉手当,,,,9403,8943,-460,-4.9,減額,5354
農林水産業費,農業費,農業総務費,共済費,,,,,16868,15971,-897,-5.3,減額,5506
農林水産業費,農業費,農業総務費,旅費,,,,,163,151,-12,-7.4,減額,4490
農林水産業費,農業費,農業総務費,旅費,費用弁償,,,,125,122,-3,-2.4,減額,4301
農林水産業費,農業費,農業総務費,旅費,普通旅費,,,,38,29,-9,-23.7,減額,4437
農林水産業費,農業費,農業総務費,需用費,,,,,58,55,-3,-5.2,減額,4302
農林水産業費,農業費,農業総務費,需用費,消耗品費,,,,5,5,0,0,横ばい,3563
農林水産業費,農業費,農業総務費,需用費,印刷製本費,,,,53,50,-3,-5.7,減額,4303
農林水産業費,農業費,農業総務費,,,給与費,,,99885,96805,-3080,-3.1,減額,5770
農林水産業費,農業費,農業総務費,,,給与費,鳥獣被害対策実施隊員　２３人,,552,0,-552,-100,廃止,5401
農林水産業費,農業費,農業総務費,,,給与費,一般職　１２人,,95653,92253,-3400,-3.6,減額,5788
農林水産業費,農業費,農業総務費,,,給与費,パートタイム会計年度任用職員,,3680,3976,296,8,増額,1796
農林水産業費,農業費,農業総務費,,,農業管理費,,,99,84,-15,-15.2,減額,4518
農林水産業費,農業費,農業総務費,,,農業管理費,農業管理事務費,,99,84,-15,-15.2,減額,4519
農林水産業費,農業費,農業振興費,,,,,,35782,45886,10104,28.2,増額,513
農林水産業費,農業費,農業振興費,報酬,,,,,5729,5967,238,4.2,増額,1875
農林水産業費,農業費,農業振興費,職員手当等,,,,,1336,1448,112,8.4,増額,2161
農林水産業費,農業費,農業振興費,職員手当等,期末手当,,,,1151,1239,88,7.6,増額,2250
農林水産業費,農業費,農業振興費,職員手当等,勤勉手当,,,,185,209,24,13,増額,2589
農林水産業費,農業費,農業振興費,共済費,,,,,1051,1161,110,10.5,増額,2167
農林水産業費,農業費,農業振興費,報償費,,,,,262,262,0,0,横ばい,3564
農林水産業費,農業費,農業振興費,旅費,,,,,497,461,-36,-7.2,減額,4709
農林水産業費,農業費,農業振興費,旅費,費用弁償,,,,230,251,21,9.1,増額,2610
農林水産業費,農業費,農業振興費,旅費,普通旅費,,,,267,210,-57,-21.3,減額,4828
農林水産業費,農業費,農業振興費,需用費,,,,,619,600,-19,-3.1,減額,4566
農林水産業費,農業費,農業振興費,需用費,消耗品費,,,,342,308,-34,-9.9,減額,4697
農林水産業費,農業費,農業振興費,需用費,燃料費,,,,7,7,0,0,横ばい,3565
農林水産業費,農業費,農業振興費,需用費,印刷製本費,,,,270,285,15,5.6,増額,2683
農林水産業費,農業費,農業振興費,役務費,,,,,741,752,11,1.5,増額,2744
農林水産業費,農業費,農業振興費,役務費,通信運搬費,,,,725,736,11,1.5,増額,2745
農林水産業費,農業費,農業振興費,役務費,筆耕翻訳料,,,,16,16,0,0,横ばい,3566
農林水産業費,農業費,農業振興費,委託料,,,,,1690,1880,190,11.2,増額,1967
農林水産業費,農業費,農業振興費,使用料及び賃借料,,,,,548,533,-15,-2.7,減額,4520
農林水産業費,農業費,農業振興費,負担金、補助及び交付金,,,,,23309,32822,9513,40.8,増額,535
農林水産業費,農業費,農業振興費,負担金、補助及び交付金,負担金,,,,3557,3537,-20,-0.6,減額,4580
農林水産業費,農業費,農業振興費,負担金、補助及び交付金,補助金,,,,19752,29285,9533,48.3,増額,532
農林水産業費,農業費,農業振興費,,,給与費,,,8337,8818,481,5.8,増額,1576
農林水産業費,農業費,農業振興費,,,給与費,パートタイム会計年度任用職員,,8337,8818,481,5.8,増額,1577
農林水産業費,農業費,農業振興費,,,農業振興費,,,25574,35194,9620,37.6,増額,529
農林水産業費,農業費,農業振興費,,,農業振興費,農業振興地域整備計画事務費,,1430,1606,176,12.3,増額,1997
農林水産業費,農業費,農業振興費,,,農業振興費,農業振興地域整備計画事務費,農用地管理システム保守・データ更新,,,,,不明,
農林水産業費,農業費,農業振興費,,,農業振興費,担い手育成総合支援事業費,,3170,1650,-1520,-47.9,減額,5604
農林水産業費,農業費,農業振興費,,,農業振興費,担い手育成総合支援事業費,新規就農者育成総合対策事業,3000,1500,-1500,-50,減額,5599
農林水産業費,農業費,農業振興費,,,農業振興費,担い手育成総合支援事業費,農業再生協議会負担金,170,150,-20,-11.8,減額,4581
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,,4547,5391,844,18.6,増額,1361
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,農業制度資金利子補給金,307,331,24,7.8,増額,2590
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,環境保全型農業直接支払補助金,2160,3080,920,42.6,増額,1330
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,茶園転換支援事業補助金,930,930,0,0,横ばい,3567
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,６次産業化促進支援事業補助金,300,300,0,0,横ばい,3568
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,農業経営ＧＡＰ認証取得支援補助金,100,0,-100,-100,廃止,4967
農林水産業費,農業費,農業振興費,,,農業振興費,農業経営支援事業費,落葉果樹及びかんきつ類,750,750,0,0,横ばい,3569
農林水産業費,農業費,農業振興費,,,農業振興費,農地中間管理事業費,,376,376,0,0,横ばい,3570
農林水産業費,農業費,農業振興費,,,農業振興費,農地中間管理事業費,農地中間管理,,,,,不明,
農林水産業費,農業費,農業振興費,,,農業振興費,農業団体支援事業費,,5027,4977,-50,-1,減額,4799
農林水産業費,農業費,農業振興費,,,農業振興費,農業団体支援事業費,農業振興活動事業補助金,2200,2150,-50,-2.3,減額,4800
農林水産業費,農業費,農業振興費,,,農業振興費,農業団体支援事業費,県農業共済組合負担金,2792,2792,0,0,横ばい,3571
農林水産業費,農業費,農業振興費,,,農業振興費,農業団体支援事業費,各種団体負担金,35,35,0,0,横ばい,3572
農林水産業費,農業費,農業振興費,,,農業振興費,水田営農振興事業費,,966,984,18,1.9,増額,2639
農林水産業費,農業費,農業振興費,,,農業振興費,水田営農振興事業費,確認野帳管理,,,,,不明,
